############################################################
# group name of the atoms under study      : all
# total number of atoms in the group       : 512
# dimension of the system                  : 3 D
# number of atoms per unit cell            : 1
# dimension of the FFT mesh                : 8 x 8 x 8
# number of wait steps before measurement  : 500000
# frequency of GFC measurement             : 10
# output result after this many measurement: 50000
# number of processors used by this run    : 4
############################################################
# mapping information between lattice index and atom id
# nx ny nz nucell
8 8 8 1
# l1 l2 l3 k atom_id
0 0.125 0.875 0.00886156 0 0.000286573 -5.4383e-07 0.000154401 2.7571e-05 0.000286573 5.4383e-07 0.0423992 7.50163e-23 -0.0221625 -5.36671e-05 0.000154401 -2.7571e-05 -0.0221625 5.36671e-05 0.0580132 0
0 0.25 0 0.0217217 -3.9372e-21 0.000884167 -0.000221181 0.0011181 -0.000407822 0.000884167 0.000221181 0.0930624 -1.1285e-21 -0.0265944 -6.17942e-06 0.0011181 0.000407822 -0.0265944 6.17942e-06 0.0268407 -4.92834e-21
0 0.25 0.125 0.0275966 0 0.000711443 -4.60825e-05 7.56959e-05 0.000208111 0.000711443 4.60825e-05 0.088155 0 -0.00131161 -4.47496e-05 7.56959e-05 -0.000208111 -0.00131161 4.47496e-05 0.0240419 0
0 0.25 0.25 0.0484148 -1.40755e-21 0.00140531 0.000462009 -0.0001242 -0.000301378 0.00140531 -0.000462009 0.0881764 0 0.0262679 3.71633e-06 -0.0001242 0.000301378 0.0262679 -3.71633e-06 0.0700351 0
0 0.25 0.375 0.0627184 -1.75944e-22 0.00112725 2.39513e-05 0.00114026 0.000113104 0.00112725 -2.39513e-05 0.0954374 1.44537e-23 0.0384392 0.000109563 0.00114026 -0.000113104 0.0384392 -0.000109563 0.132149 0
0 0.25 0.5 0.0657689 1.75944e-22 0.00117515 8.83566e-05 0.00117691 -9.13363e-05 0.00117515 -8.83566e-05 0.105518 -5.96738e-21 0.0298323 -0.000258581 0.00117691 9.13363e-05 0.0298323 0.000258581 0.177812 -1.62387e-20
0 0.25 0.625 0.0542598 0 0.000755977 -1.71949e-05 0.00105469 0.00010142 0.000755977 1.71949e-05 0.110464 0 0.00330891 8.68601e-05 0.00105469 -0.00010142 0.00330891 -8.68601e-05 0.186956 8.54843e-22
0 0.25 0.75 0.0346844 0 0.000915831 -0.000118953 0.000542528 -5.64002e-05 0.000915831 0.000118953 0.124718 -1.12766e-20 -0.0251872 -0.000508022 0.000542528 5.64002e-05 -0.0251872 0.000508022 0.142794 0
0 0.25 0.875 0.0219912 -4.3986e-23 0.000809127 3.09234e-05 0.000161006 -9.50503e-05 0.000809127 -3.09234e-05 0.117429 2.24604e-22 -0.0399037 4.61826e-05 0.000161006 9.50503e-05 -0.0399037 -4.61826e-05 0.0772575 -2.64622e-22
0 0.375 0 0.0309505 0 0.00117493 -6.23071e-05 0.000909336 -5.29584e-05 0.00117493 6.23071e-05 0.161616 2.7228e-20 -0.0455646 -0.00012048 0.000909336 5.29584e-05 -0.0455646 0.00012048 0.0479197 -5.31147e-21
0 0.375 0.125 0.0440302 4.3986e-23 0.000759282 3.52533e-05 -0.00142163 -3.19565e-05 0.000759282 -3.52533e-05 0.162735 1.07836e-22 -0.0222051 3.16498e-05 -0.00142163 3.19565e-05 -0.0222051 -3.16498e-05 0.044457 -1.76012e-22
0 0.375 0.25 0.0637825 -7.03777e-22 0.00121074 -0.000540804 0.0014069 0.00120558 0.00121074 0.000540804 0.153528 -1.53568e-21 0.0185709 -0.000132227 0.0014069 -0.00120558 0.0185709 0.000132227 0.0775522 2.8162e-21
0 0.375 0.375 0.092364 2.81511e-21 0.00348074 -0.000454635 -0.0025337 0.000324812 0.00348074 0.000454635 0.156901 -6.4156e-21 0.0454374 0.000101816 -0.0025337 -0.000324812 0.0454374 -0.000101816 0.125568 0
0 0.375 0.5 0.0805066 0 0.00173097 -0.000641339 0.00130403 0.000410344 0.00173097 0.000641339 0.167002 -3.63412e-21 0.0517619 -0.000408617 0.00130403 -0.000410344 0.0517619 0.000408617 0.158909 0
0 0.375 0.625 0.0759428 0 0.00156467 -0.000195166 0.000978289 0.000451393 0.00156467 0.000195166 0.170887 9.51289e-22 0.0221427 -0.000118842 0.000978289 -0.000451393 0.0221427 0.000118842 0.157213 0
0 0.375 0.75 0.0558304 0 0.00133283 -9.35465e-05 0.000520073 0.000267595 0.00133283 9.35465e-05 0.173109 0 -0.0148303 4.11347e-05 0.000520073 -0.000267595 -0.0148303 -4.11347e-05 0.12936 0
0 0.375 0.875 0.036917 0 0.00133649 7.28579e-05 0.000205708 0.000257484 0.00133649 -7.28579e-05 0.183942 2.20438e-21 -0.0479905 1.11916e-05 0.000205708 -0.000257484 -0.0479905 -1.11916e-05 0.0850209 7.04049e-22
0 0.5 0 0.0370452 0 0.00157103 0 0.000822219 0 0.00157103 0 0.206345 0 -0.0596702 0 0.000822219 0 -0.0596702 0 0.0564156 0
0 0.5 0.125 0.0423796 1.09965e-22 0.00131661 -2.67369e-05 0.000273179 -8.48581e-05 0.00131661 2.67369e-05 0.192215 1.20356e-21 -0.0382917 1.69752e-05 0.000273179 8.48581e-05 -0.0382917 -1.69752e-05 0.0705665 1.29175e-22
0 0.5 0.25 0.0684368 -1.09965e-23 0.00157554 -1.04163e-05 0.000528572 0.000186089 0.00157554 1.04163e-05 0.194904 -1.54684e-22 0.00064904 0.000202893 0.000528572 -0.000186089 0.00064904 -0.000202893 0.0999125 2.50762e-22
0 0.5 0.375 0.086368 0 0.00147798 -4.07186e-05 0.00106717 -0.000165281 0.00147798 4.07186e-05 0.181258 -3.34454e-23 0.0419811 0.000141962 0.00106717 0.000165281 0.0419811 -0.000141962 0.12649 -2.22306e-22
0 0.5 0.5 0.103945 0 0.00434476 0 -0.00175879 0 0.00434476 0 0.186372 0 0.0620812 0 -0.00175879 0 0.0620812 0 0.143173 0
